s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,yasyAM,yad,loc. sg. f.,NA,viseranam,2
1,niketanAnAM,niketana,g. pl. n.,NA,rartisambanxah,2
2,kapotapAlIzu,kapotapAlI,loc. pl. f.,NA,axikaranam,11
3,kftrimapatripaNkteH,kftrima-patrin-paNkti,g. sg. f.,NA,apaxanam,11
4,cikraMsayA,cikraMsA,i. sg. f.,NA,hewuh,5
5,AyataniScalANgam,Ayata-niScalANga,acc. sg. m.,NA,viseranam,6
6,mArjAram,mArjAra,acc. sg. m.,NA,karma,11
7,api,api,ind.,NA,sambanxah,6
8,janaH,jana,nom. sg. m.,NA,karwa,11
9,kftrimam,kftrima,acc. sg. m.,NA,viseranam,6
10,eva,eva,ind.,NA,sambanxah,9
11,mene,man1,pft. md. sg. 3,NA,,
