,child_case,head_case,relation,child_pos,head_pos,file_name
0,inst,nom,karwa,inst. pl. m.,nom. pl. m.,Gold_633.csv
1,Ind,IV,apaxanam,conj.,abs.,Gold_633.csv
2,Ind,Ind,sambanxah,conj.,conj.,Gold_633.csv
3,acc,Ind,prawiyogi,acc. sg. m.,conj.,Gold_633.csv
4,Ind,acc,anuyogi,conj.,acc. sg. n.,Gold_633.csv
5,inst,IV,karanam,inst. pl. m.,abs.,Gold_633.csv
6,acc,IV,karma,acc. sg. n.,abs.,Gold_633.csv
7,IV,nom,purvakalah,abs.,nom. pl. m.,Gold_633.csv
8,nom,Ind,samucciwam,nom. pl. m.,conj.,Gold_633.csv
9,acc,acc,karma,acc. sg. m.,acc. pl. f.,Gold_633.csv
10,acc,acc,viseranam,acc. pl. f.,acc. pl. f.,Gold_633.csv
11,acc,acc,karma,acc. pl. f.,acc. pl. f.,Gold_633.csv
12,acc,FV,karma,acc. sg. m.,pft. ps. sg. 3,Gold_633.csv
13,acc,FV,bavalakranasapwami_samanakalah,acc. pl. f.,pft. ps. sg. 3,Gold_633.csv
14,acc,Ind,prawiyogi,acc. pl. f.,conj.,Gold_633.csv
15,Ind,acc,anuyogi,conj.,acc. pl. f.,Gold_633.csv
16,nom,FV,karwa,nom. sg. m.,pft. ps. sg. 3,Gold_633.csv
17,FV,Ind,samucciwam,pft. ps. sg. 3,conj.,Gold_633.csv
18,Ind,ROOT,root,conj.,NA,Gold_633.csv
19,nom,FV,karwa,nom. sg. m.,pr. [1] ac. sg. 3,Gold_1083.csv
20,IV,FV,apaxanam,tasil,pr. [1] ac. sg. 3,Gold_1083.csv
21,loc,FV,axikaranam,loc. sg. m.,pr. [1] ac. sg. 3,Gold_1083.csv
22,FV,ROOT,root,pr. [1] ac. sg. 3,NA,Gold_1083.csv
23,Ind,FV,sambanxah,part.,pr. [1] ac. sg. 3,Gold_1083.csv
24,nom,FV,karwa,nom. sg. m.,impft. [1] ac. sg. 3,Gold_433.csv
25,loc,FV,axikaranam,loc. sg. m.,impft. [1] ac. sg. 3,Gold_433.csv
26,nom,FV,karwqsamanaxikaranam,nom. sg. m.,impft. [1] ac. sg. 3,Gold_433.csv
27,FV,ROOT,root,impft. [1] ac. sg. 3,NA,Gold_433.csv
28,voc,Ind,samboxyah,voc. sg. m.,conj.,Gold_627.csv
